$Var_1$,$Var_2$,$Var_3$,$Var_4$,$Var_5$,$Var_6$,$Var_7$,$Var_8$,$Var_9$,$Var_{10}$
37.4540,95.0714,73.1994,59.8658,15.6019,15.5995,5.8084,86.6176,60.1115,70.8073
2.0584,96.9910,83.2443,21.2339,18.1825,18.3405,30.4242,52.4756,43.1945,29.1229
61.1853,13.9494,29.2145,36.6362,45.6070,78.5176,19.9674,51.4234,59.2415,4.6450
60.7545,17.0524,6.5052,94.8886,96.5632,80.8397,30.4614,9.7672,68.4233,44.0152
12.2038,49.5177,3.4389,90.9320,25.8780,66.2522,31.1711,52.0068,54.6710,18.4854
96.9585,77.5133,93.9499,89.4827,59.7900,92.1874,8.8493,19.5983,4.5227,32.5330
38.8677,27.1349,82.8738,35.6753,28.0935,54.2696,14.0924,80.2197,7.4551,98.6887
77.2245,19.8716,0.5522,81.5461,70.6857,72.9007,77.1270,7.4045,35.8466,11.5869
86.3103,62.3298,33.0898,6.3558,31.0982,32.5183,72.9606,63.7557,88.7213,47.2215
11.9594,71.3245,76.0785,56.1277,77.0967,49.3796,52.2733,42.7541,2.5419,10.7891
3.1429,63.6410,31.4356,50.8571,90.7566,24.9292,41.0383,75.5551,22.8798,7.6980
28.9751,16.1221,92.9698,80.8120,63.3404,87.1461,80.3672,18.6570,89.2559,53.9342
80.7440,89.6091,31.8003,11.0052,22.7935,42.7108,81.8015,86.0731,0.6952,51.0747
41.7411,22.2108,11.9865,33.7615,94.2910,32.3203,51.8791,70.3019,36.3630,97.1782
96.2447,25.1782,49.7249,30.0878,28.4840,3.6887,60.9564,50.2679,5.1479,27.8646
90.8266,23.9562,14.4895,48.9453,98.5650,24.2055,67.2136,76.1620,23.7638,72.8216
36.7783,63.2306,63.3530,53.5775,9.0290,83.5302,32.0780,18.6519,4.0775,59.0893
67.7564,1.6588,51.2093,22.6496,64.5173,17.4366,69.0938,38.6735,93.6730,13.7521
34.1066,11.3474,92.4694,87.7339,25.7942,65.9984,81.7222,55.5201,52.9651,24.1852
9.3103,89.7216,90.0418,63.3101,33.9030,34.9210,72.5956,89.7110,88.7086,77.9876
64.2032,8.4140,16.1629,89.8554,60.6429,0.9197,10.1472,66.3502,0.5062,16.0808
54.8734,69.1895,65.1961,22.4269,71.2179,23.7249,32.5400,74.6491,64.9633,84.9223
65.7613,56.8309,9.3675,36.7716,26.5202,24.3990,97.3011,39.3098,89.2047,63.1139
79.4811,50.2637,57.6904,49.2518,19.5243,72.2452,28.0772,2.4316,64.5472,17.7111
94.0459,95.3929,91.4864,37.0159,1.5457,92.8319,42.8184,96.6655,96.3620,85.3009
29.4449,38.5098,85.1137,31.6922,16.9493,55.6801,93.6155,69.6030,57.0061,9.7176
61.5007,99.0054,14.0084,51.8330,87.7373,74.0769,69.7016,70.2484,35.9491,29.3592
80.9361,81.0113,86.7072,91.3241,51.1342,50.1516,79.8295,64.9964,70.1967,79.5793
89.0005,33.7995,37.5583,9.3982,57.8280,3.5942,46.5598,54.2645,28.6541,59.0833
3.0500,3.7348,82.2601,36.0191,12.7061,52.2243,76.9994,21.5821,62.2890,8.5347
5.1682,53.1355,54.0635,63.7430,72.6091,97.5852,51.6300,32.2956,79.5186,27.0832
43.8971,7.8456,2.5351,96.2648,83.5980,69.5974,40.8953,17.3294,15.6437,25.0243
54.9227,71.4596,66.0197,27.9934,95.4865,73.7897,55.4354,61.1721,41.9600,24.7731
35.5973,75.7846,1.4393,11.6073,4.6003,4.0729,85.5461,70.3658,47.4174,9.7834
49.1616,47.3472,17.3202,43.3852,39.8505,61.5850,63.5094,4.5304,37.4613,62.5860
50.3136,85.6490,65.8694,16.2934,7.0569,64.2419,2.6511,58.5776,94.0230,57.5474
38.8170,64.3288,45.8253,54.5617,94.1465,38.6103,96.1191,90.5351,19.5791,6.9361
10.0778,1.8222,9.4443,68.3007,7.1189,31.8976,84.4875,2.3272,81.4468,28.1855
11.8165,69.6737,62.8943,87.7472,73.5071,80.3481,28.2035,17.7440,75.0615,80.6835
99.0505,41.2618,37.2018,77.6413,34.0804,93.0757,85.8413,42.8994,75.0871,75.4543
10.3124,90.2553,50.5252,82.6457,32.0050,89.5523,38.9202,1.0838,90.5382,9.1287
31.9314,95.0062,95.0607,57.3438,63.1837,44.8446,29.3211,32.8665,67.2518,75.2375
79.1579,78.9618,9.1206,49.4420,5.7559,54.9529,44.1531,88.7704,35.0915,11.7067
14.2992,76.1511,61.8218,10.1123,8.4107,70.0969,7.2763,82.1860,70.6242,8.1349
8.4838,98.6640,37.4271,37.0642,81.2800,94.7249,98.6001,75.3378,37.6260,8.3501
77.7147,55.8404,42.4222,90.6354,11.1197,49.2625,1.1354,46.8661,5.6303,11.8818
11.7526,64.9210,74.6045,58.3369,96.2173,37.4871,28.5712,86.8599,22.3596,96.3223
1.2154,96.9879,4.3160,89.1143,52.7701,99.2965,7.3797,55.3854,96.9303,52.3098
62.9399,69.5749,45.4541,62.7558,58.4314,90.1158,4.5446,28.0963,95.0411,89.0264
45.5657,62.0133,27.7381,18.8121,46.3698,35.3352,58.3656,7.7735,97.4395,98.6211
