$Feature_1$,$Feature_2$,$Feature_3$,$Feature_4$,$Feature_5$,$Feature_6$,$Feature_7$,$Feature_8$,$Feature_9$,$Feature_10$
6.98161714e-06,5.36096366e-06,3.09527616e-06,8.13795020e-06,6.84731173e-06,1.62616939e-06,9.10927184e-06,8.22537243e-06,9.49799913e-06,7.25719508e-06
6.13415196e-06,4.18243036e-06,9.32728483e-06,8.66063890e-06,4.52186701e-07,2.63669745e-07,3.76463367e-06,8.10553331e-06,9.87276129e-06,1.50416891e-06
5.94130715e-06,3.80890857e-06,9.69914398e-06,8.42118923e-06,8.38328705e-06,4.68693160e-06,4.14819502e-06,2.73407072e-06,5.63754967e-07,8.64722376e-06
8.12901009e-06,9.99717673e-06,9.96636837e-06,5.55431706e-06,7.68987415e-06,9.44765730e-06,8.49647391e-06,2.47348102e-06,4.50544135e-06,1.29159415e-06
9.54051027e-06,6.06174634e-06,2.28642806e-06,6.71700684e-06,6.18128240e-06,3.58162718e-06,1.13557592e-06,6.71573196e-06,5.20307701e-06,7.72318392e-06
5.20163501e-06,8.52181500e-06,5.51906839e-06,5.60937972e-06,8.76653603e-06,4.03482866e-06,1.34015228e-06,2.87826763e-07,7.55137256e-06,6.20309551e-06
7.04079768e-06,2.12964162e-06,1.36371476e-06,1.45446657e-07,3.50587559e-06,5.89917687e-06,3.92244045e-06,4.37474922e-06,9.04158694e-06,3.48255467e-06
5.13989489e-06,7.83653013e-06,3.96542782e-06,6.22086700e-06,8.62363709e-06,9.49520624e-06,1.47073481e-06,9.26587625e-06,4.92116293e-06,2.58244388e-06
4.59135756e-06,9.80032575e-06,4.92618094e-06,3.28751610e-06,6.33400854e-06,2.40145619e-06,7.58633281e-07,1.28879722e-06,1.28045839e-06,1.51902694e-06
1.38827173e-06,6.40874745e-06,1.81880084e-06,3.45667283e-06,8.96788410e-06,4.73961640e-06,6.67557739e-06,1.72319871e-06,1.92289019e-06,4.08686163e-07
1.68935063e-06,2.78590339e-06,1.77010484e-06,8.87025338e-07,1.20635871e-06,4.60778768e-06,2.06333718e-06,3.64269861e-06,5.03417271e-06,6.90394829e-06
3.93121398e-07,7.99410399e-06,6.27900389e-06,8.17590319e-07,8.73578624e-06,9.20872401e-06,6.10779599e-07,2.76877648e-06,8.06201280e-06,7.48259690e-06
1.84521019e-06,2.09349323e-06,3.70472103e-06,4.84522985e-06,6.18254772e-06,3.68913640e-06,4.62534716e-06,7.47470938e-06,3.66832029e-07,2.52436944e-06
7.13349586e-06,8.95206838e-06,5.11677442e-06,5.32113485e-06,1.07172011e-06,4.47412367e-06,5.32617266e-06,2.42470504e-06,2.69243231e-06,3.77284163e-06
2.00711978e-07,3.22079166e-06,2.11448007e-06,3.27497352e-06,1.19762132e-06,8.90527281e-06,5.93592454e-06,6.79102319e-06,7.89171239e-06,4.98442199e-06
8.69202881e-07,5.37106542e-06,5.86841118e-06,7.45439474e-06,4.31659546e-06,1.27580303e-06,2.83775906e-06,3.63082296e-06,6.45917241e-06,5.70778305e-06
3.56096726e-06,9.86515249e-06,6.05774819e-06,2.37226792e-06,1.01782473e-06,1.52859139e-06,2.45957728e-06,1.60681373e-06,1.86567024e-06,2.85095169e-06
1.73373595e-06,8.96765425e-06,8.02337457e-07,5.24511390e-06,4.10396827e-06,9.82378617e-06,1.12038902e-06,3.97855599e-06,9.69470433e-06,8.65507126e-06
8.17072071e-06,2.57902827e-06,1.70887587e-06,6.68643220e-06,9.29375989e-06,5.56762893e-06,5.71612689e-06,2.79979094e-06,7.69492933e-06,1.87043749e-06
3.23679236e-06,4.25436439e-06,5.07610379e-06,2.42409732e-06,1.14836825e-06,6.10620042e-06,2.88630553e-06,5.81238221e-06,1.54362715e-06,4.81140102e-06
5.32589433e-06,5.18235368e-07,3.36604278e-06,1.34414677e-06,6.33749705e-07,9.89960232e-06,3.22353845e-06,8.09874446e-06,2.54640655e-06,6.81502722e-06
7.60227860e-06,5.95638741e-06,4.71576189e-06,4.11840914e-06,3.48868267e-06,9.29529144e-06,8.30619408e-06,9.65026911e-06,1.24297223e-06,7.30867475e-06
9.38340457e-06,1.81233066e-06,6.64962674e-07,7.41120649e-06,5.74473113e-06,8.41828777e-06,1.39772377e-06,7.95267312e-06,2.01627320e-06,1.63655943e-06
1.64265798e-06,8.14574720e-06,6.65197221e-06,5.23065425e-06,3.58830484e-06,8.77200541e-06,3.92445107e-06,8.16599439e-06,4.39134909e-06,3.76944429e-06
4.62679786e-06,3.01377874e-06,7.47609380e-06,5.02720390e-06,2.32212695e-06,8.99574573e-06,3.83891221e-06,5.43552861e-06,9.06472111e-06,6.24237996e-06
1.16898041e-06,9.39832124e-06,6.27708053e-06,3.34905615e-06,1.39272073e-06,7.94025189e-06,6.20072756e-06,5.33461092e-06,8.93892583e-06,7.88597211e-06
1.51674880e-06,3.11722068e-06,2.48489140e-06,7.43946293e-06,3.35324347e-07,5.69889685e-06,7.62458686e-06,8.76765637e-06,3.42081749e-06,8.21257305e-06
1.10631737e-06,8.46452292e-06,1.27488662e-06,3.97287291e-06,7.97295366e-06,1.49917427e-06,2.29251395e-06,7.22252568e-06,7.20036537e-06,6.41147633e-06
6.93948444e-06,5.42724443e-06,2.51799059e-06,3.45695994e-06,1.81597717e-06,9.08450561e-06,5.83391795e-06,4.00851417e-06,4.62005804e-06,9.47283340e-06
1.53351403e-06,5.86229832e-06,5.05888679e-06,6.11454235e-06,1.81101838e-07,8.72123909e-06,9.32118282e-06,5.65133184e-06,6.96650824e-06,9.22499381e-06
7.07238634e-06,1.52539043e-06,5.76288360e-06,6.06715046e-06,4.24130671e-06,7.36444236e-06,9.34367015e-06,9.25568513e-06,4.50839371e-06,1.13238046e-06
9.84841199e-06,8.38898086e-06,1.24662681e-06,9.20841883e-06,8.69896362e-06,5.18838057e-06,5.91275436e-06,3.99002704e-06,5.47616388e-07,3.35197242e-06
8.02853449e-06,4.63202300e-08,3.33499172e-06,3.98168694e-06,5.37395603e-06,9.19855616e-06,3.46345994e-06,3.46953202e-06,7.37501248e-06,4.52217941e-06
2.24604823e-06,4.52439516e-06,1.40857020e-06,1.76386987e-06,4.98367773e-06,4.18925450e-06,9.14845901e-06,3.62393899e-06,5.80588350e-06,6.32264288e-06
1.30944566e-07,6.63537372e-06,1.78035967e-06,9.61070317e-06,1.48662728e-06,4.14624124e-06,8.53496681e-07,9.96874252e-06,5.02195010e-06,5.95385017e-06
6.70764774e-07,7.49960470e-06,2.09905593e-06,8.98054289e-06,2.05139640e-06,1.90687721e-06,3.65496678e-07,4.72066945e-06,5.64841133e-06,6.57086394e-07
7.75527617e-06,4.53288835e-06,5.24390269e-06,4.40762747e-06,4.00763061e-06,5.59640331e-06,1.55240246e-06,1.81928130e-06,8.61785621e-06,9.46115462e-06
3.73309316e-06,2.70744673e-06,6.43999543e-06,4.08734171e-06,2.53863557e-07,1.56152597e-06,7.15972229e-06,6.58923942e-06,2.70959925e-07,2.21972162e-06
2.31074797e-06,6.71892744e-06,1.97105378e-07,1.04108582e-06,7.99916085e-06,1.78544662e-06,6.52746108e-06,2.38182781e-06,9.94413928e-07,2.43172191e-06
7.22266932e-06,8.55696468e-06,8.30219865e-06,3.97183530e-06,6.68085137e-06,2.04984295e-06,2.93147730e-06,8.96335819e-06,1.30019235e-07,8.55085309e-07
2.07886255e-06,2.65322039e-07,1.81435435e-06,5.83041561e-06,4.21424551e-06,8.92671711e-06,8.17443562e-06,3.41817352e-06,2.59423433e-06,3.79692408e-06
5.90294943e-06,2.68063641e-06,6.24148908e-06,4.09411652e-06,5.52047181e-06,4.36126529e-06,2.94465760e-06,9.48453307e-06,7.63605794e-06,1.40113176e-06
8.68467976e-06,4.87431198e-06,8.94552227e-06,7.99855256e-06,4.25213504e-06,2.24693083e-07,2.68677359e-06,5.41634215e-06,6.33478220e-06,2.57887685e-06
1.39356074e-06,8.34930237e-06,9.84402181e-06,5.25690182e-06,1.71679286e-06,2.72307327e-06,1.83906765e-07,9.14298807e-06,1.17751083e-06,5.76516476e-06
2.74055221e-06,5.54178003e-06,6.51420388e-06,8.29741804e-06,2.06421272e-06,1.09958287e-07,1.36885630e-06,9.00018642e-06,8.73890078e-06,5.97413102e-06
6.00516860e-06,6.65036675e-06,1.75371279e-06,9.14411946e-06,4.18770525e-06,3.83138528e-06,5.18917705e-06,4.69659668e-07,1.66283369e-06,7.38033616e-06
8.27986679e-07,6.03152109e-06,2.45349110e-06,3.89295614e-06,2.88693737e-06,3.55672716e-06,7.19045905e-06,2.97121716e-06,5.66404640e-06,4.76050402e-06
